Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric,58.31,-68.77,180.0,top
C2,C,C_0603_1608Metric,106.02,-73.95,0.0,top
C3,C,C_0603_1608Metric,93.0,-74.05,0.0,top
C4,C,C_0603_1608Metric,115.77,-73.89,0.0,top
C5,C,C_0603_1608Metric,127.4,-73.68,0.0,top
C6,C,C_0603_1608Metric,139.245,-73.81,0.0,top
C7,C,C_0603_1608Metric,149.78,-73.9,0.0,top
C8,C,C_0603_1608Metric,162.765,-73.81,0.0,top
C9,C,C_0603_1608Metric,198.685,-69.13,0.0,top
D1,LED_ALT,LED_PLCC_2835_Handsoldering,62.09,-69.46,90.0,top
D2,LED_ALT,LED_PLCC_2835_Handsoldering,72.863636,-69.5,90.0,top
D3,LED_ALT,LED_PLCC_2835_Handsoldering,85.227272,-69.5,90.0,top
D4,LED_ALT,LED_PLCC_2835_Handsoldering,98.77,-69.49,90.0,top
D5,LED_ALT,LED_PLCC_2835_Handsoldering,111.34,-69.475,90.0,top
D6,LED_ALT,LED_PLCC_2835_Handsoldering,122.31818,-69.5,90.0,top
D7,LED_ALT,LED_PLCC_2835_Handsoldering,134.681816,-69.5,90.0,top
D8,LED_ALT,LED_PLCC_2835_Handsoldering,145.43,-69.575,90.0,top
D9,LED_ALT,LED_PLCC_2835_Handsoldering,158.76,-69.52,90.0,top
D10,LED_ALT,LED_PLCC_2835_Handsoldering,171.772724,-69.5,90.0,top
D11,LED_ALT,LED_PLCC_2835_Handsoldering,184.13636,-69.5,90.0,top
D12,LED_ALT,LED_PLCC_2835_Handsoldering,195.175,-69.53,90.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.66,-69.74,90.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.8,-69.62,90.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.62,-69.59,90.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,128.13,-69.42,90.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.02,-69.34,90.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140.14,-69.54,90.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,150.74,-69.52,90.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.65,-69.39,90.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.02,-69.61,90.0,top
R1,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,88.89,-69.46,-90.0,top
R2,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,102.2,-69.34,-90.0,top
R3,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,155.15,-69.51,90.0,top
R4,100R 0.5W,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,168.27,-69.5,90.0,top
